,city,city_date,city_id,cloudiness,country,humidity,lat,lng,max_temp,wind_speed
160,New Norfolk,11-05-2017,2155415,40,AU,46,-42.78,147.06,53.6,12.75
161,Adrar,11-05-2017,2508813,0,DZ,13,27.87,-0.29,73.4,2.71
162,Ushuaia,11-05-2017,3833367,0,AR,58,-54.8,-68.3,50.56,12.75
163,Hasaki,11-05-2017,2112802,20,JP,87,35.73,140.83,42.01,4.7
164,Barrow,11-05-2017,5880054,75,US,92,71.29,-156.79,28.4,6.93
165,Ushuaia,11-05-2017,3833367,0,AR,58,-54.8,-68.3,50.56,12.75
166,Busselton,11-05-2017,2075265,0,AU,93,-33.65,115.33,65.71,22.28
167,Dikson,11-05-2017,1507390,80,RU,100,73.51,80.55,22.56,17.81
168,Ilulissat,11-05-2017,3423146,8,GL,78,69.22,-51.1,17.6,5.82
169,Nouadhibou,11-05-2017,2377457,44,MR,68,20.93,-17.03,69.8,12.75
170,Rikitea,11-05-2017,4030556,44,PF,100,-23.12,-134.97,74.67,12.55
171,Hobart,11-05-2017,2163355,40,AU,46,-42.88,147.33,53.6,12.75
172,Soeke,11-05-2017,300399,0,TR,81,37.75,27.41,48.18,5.82
173,Hobart,11-05-2017,2163355,40,AU,46,-42.88,147.33,53.6,12.75
174,Chokurdakh,11-05-2017,2126123,68,RU,84,70.63,147.92,20.76,6.17
175,Hobart,11-05-2017,2163355,40,AU,46,-42.88,147.33,53.6,12.75
176,Dikson,11-05-2017,1507390,80,RU,100,73.51,80.55,22.56,17.81
177,Puerto Maldonado,11-05-2017,3931470,20,PE,55,-12.6,-69.18,91.4,3.36
178,Belawan,11-05-2017,1215412,40,ID,94,3.78,98.68,77.0,4.7
179,Xiaoyi,11-05-2017,1789898,0,CN,80,34.62,109.7,44.38,2.93
180,Yellowknife,11-05-2017,6185377,75,CA,61,62.46,-114.35,12.2,8.05
181,Tashla,11-05-2017,484232,92,RU,95,51.77,52.74,39.21,2.59
182,Qaanaaq,11-05-2017,3831208,8,GL,100,77.48,-69.36,-6.74,8.08
183,Rikitea,11-05-2017,4030556,44,PF,100,-23.12,-134.97,74.67,12.55
184,Ushuaia,11-05-2017,3833367,0,AR,58,-54.8,-68.3,50.56,12.75
185,Thompson,11-05-2017,6165406,90,CA,78,55.74,-97.86,17.6,10.29
186,Longkou,11-05-2017,1802550,0,CN,100,37.65,120.33,53.74,17.02
187,Qaanaaq,11-05-2017,3831208,8,GL,100,77.48,-69.36,-6.74,8.08
188,Port Alfred,11-05-2017,964432,44,ZA,98,-33.59,26.89,63.51,16.58
189,Atuona,11-05-2017,4020109,56,PF,100,-9.8,-139.03,80.29,13.0
190,Butaritari,11-05-2017,2110227,88,KI,100,3.07,172.79,82.59,14.12
191,Sao Filipe,11-05-2017,3374210,8,CV,100,14.9,-24.5,78.09,14.67
192,Thompson,11-05-2017,6165406,90,CA,78,55.74,-97.86,17.6,10.29
193,West Arnhem,11-05-2017,7839412,0,AU,49,-12.39,133.38,87.13,10.42
194,Adrar,11-05-2017,2508813,0,DZ,13,27.87,-0.29,73.4,2.71
195,Yellowknife,11-05-2017,6185377,75,CA,61,62.46,-114.35,12.2,8.05
196,Cape Town,11-05-2017,3369157,0,ZA,77,-33.93,18.42,60.8,28.86
197,Kruisfontein,11-05-2017,986717,100,ZA,99,-34.0,24.73,61.17,20.04
198,Sao Jose da Coroa Grande,11-05-2017,3388456,92,BR,99,-8.9,-35.15,72.64,6.51
199,Kapaa,11-05-2017,5848280,40,US,65,22.08,-159.32,80.4,16.11
200,Ponta do Sol,11-05-2017,2264557,75,PT,64,32.67,-17.1,68.0,18.34
201,Saskylakh,11-05-2017,2017155,64,RU,37,71.92,114.08,-2.92,5.5
202,Talnakh,11-05-2017,1490256,80,RU,80,69.49,88.4,22.87,9.42
203,Mathura,11-05-2017,1263364,0,IN,81,27.5,77.68,61.26,2.71
